sample,eruptions,waiting,severe
0,3.6,79,1
1,1.8,54,-1
2,3.333,74,1
3,2.283,62,-1
4,4.533,85,1
5,2.883,55,-1
6,4.7,88,1
7,3.6,85,1
8,1.95,51,-1
9,4.35,85,1
10,1.833,54,-1
11,3.917,84,1
12,4.2,78,1
13,1.75,47,-1
14,4.7,83,1
15,2.167,52,-1
16,1.75,62,-1
17,4.8,84,1
18,1.6,52,-1
19,4.25,79,1
20,1.8,51,-1
21,1.75,47,-1
22,3.45,78,1
23,3.067,69,-1
24,4.533,74,1
25,3.6,83,1
26,1.967,55,-1
27,4.083,76,1
28,3.85,78,1
29,4.433,79,1
30,4.3,73,1
31,4.467,77,1
32,3.367,66,1
33,4.033,80,1
34,3.833,74,1
35,2.017,52,-1
36,1.867,48,-1
37,4.833,80,1
38,1.833,59,-1
39,4.783,90,1
40,4.35,80,1
41,1.883,58,-1
42,4.567,84,1
43,1.75,58,-1
44,4.533,73,1
45,3.317,83,1
46,3.833,64,1
47,2.1,53,-1
48,4.633,82,1
49,2,59,-1
50,4.8,75,1
51,4.716,90,1
52,1.833,54,-1
53,4.833,80,1
54,1.733,54,-1
55,4.883,83,1
56,3.717,71,1
57,1.667,64,-1
58,4.567,77,1
59,4.317,81,1
60,2.233,59,-1
61,4.5,84,1
62,1.75,48,-1
63,4.8,82,1
64,1.817,60,-1
65,4.4,92,1
66,4.167,78,1
67,4.7,78,1
68,2.067,65,-1
69,4.7,73,1
70,4.033,82,1
71,1.967,56,-1
72,4.5,79,1
73,4,71,1
74,1.983,62,-1
75,5.067,76,1
76,2.017,60,-1
77,4.567,78,1
78,3.883,76,1
79,3.6,83,1
80,4.133,75,1
81,4.333,82,1
82,4.1,70,1
83,2.633,65,-1
84,4.067,73,1
85,4.933,88,1
86,3.95,76,1
87,4.517,80,1
88,2.167,48,-1
89,4,86,1
90,2.2,60,-1
91,4.333,90,1
92,1.867,50,-1
93,4.817,78,1
94,1.833,63,-1
95,4.3,72,1
96,4.667,84,1
97,3.75,75,1
98,1.867,51,-1
99,4.9,82,1
100,2.483,62,-1
101,4.367,88,1
102,2.1,49,-1
103,4.5,83,1
104,4.05,81,1
105,1.867,47,-1
106,4.7,84,1
107,1.783,52,-1
108,4.85,86,1
109,3.683,81,1
110,4.733,75,1
111,2.3,59,-1
112,4.9,89,1
113,4.417,79,1
114,1.7,59,-1
115,4.633,81,1
116,2.317,50,-1
117,4.6,85,1
118,1.817,59,-1
119,4.417,87,1
